{'time': 12362, 'x': 171.625, 'y': -0.438, 'z': 171.063, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 12372}
{'time': 12727, 'x': 171.625, 'y': -0.438, 'z': 171.063, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.895, 'thr4': 21.696, 'thr5': 22.392, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 12737}
{'time': 13094, 'x': 171.625, 'y': -0.438, 'z': 171.063, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 13104}
{'time': 13461, 'x': 171.625, 'y': -0.438, 'z': 171.063, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 13470}
{'time': 13826, 'x': 171.625, 'y': -0.438, 'z': 171.063, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 22.094, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.895, 'thr4': 21.597, 'thr5': 22.392, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 13835}
{'time': 14193, 'x': 171.625, 'y': -0.438, 'z': 171.063, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.895, 'thr4': 21.696, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 14202}
{'time': 14559, 'x': 171.625, 'y': -0.438, 'z': 171.063, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.392, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 14568}
{'time': 14924, 'x': 171.625, 'y': -0.438, 'z': 171.063, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.796, 'thr4': 21.597, 'thr5': 22.392, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 14934}
{'time': 15291, 'x': 171.625, 'y': -0.438, 'z': 171.063, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.895, 'thr4': 21.696, 'thr5': 22.392, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 15301}
{'time': 15655, 'x': 171.625, 'y': -0.438, 'z': 171.063, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 15666}
{'time': 16023, 'x': 171.625, 'y': -0.438, 'z': 171.063, 'watertmp': 25.8, 'depth': 0.2, 'thr0': 22.094, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.796, 'thr4': 21.696, 'thr5': 22.392, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 16032}
